cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,efts_hits,status,reason,found_accession,found_form,found_date,found_url,found_confidence,found_matched_query,found_excerpt
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,0,not_found,no_efts_hits,,,,,0.0,,
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,0,not_found,no_efts_hits,,,,,0.0,,
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,0,not_found,no_efts_hits,,,,,0.0,,
1804469,GFAI,"Guardforce AI Co., Ltd.",2021-09-30,2022-09-30,0,not_found,no_efts_hits,,,,,0.0,,
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,0,not_found,no_efts_hits,,,,,0.0,,
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,0,not_found,no_efts_hits,,,,,0.0,,
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,0,not_found,no_efts_hits,,,,,0.0,,
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,0,not_found,no_efts_hits,,,,,0.0,,
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,0,not_found,no_efts_hits,,,,,0.0,,
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,0,not_found,no_efts_hits,,,,,0.0,,
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,0,not_found,no_efts_hits,,,,,0.0,,
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,0,not_found,no_efts_hits,,,,,0.0,,
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,0,not_found,no_efts_hits,,,,,0.0,,
1831283,LIANY,LianBio,2021-11-01,2022-11-01,0,not_found,no_efts_hits,,,,,0.0,,
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,0,not_found,no_efts_hits,,,,,0.0,,
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,0,not_found,no_efts_hits,,,,,0.0,,
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,0,not_found,no_efts_hits,,,,,0.0,,
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,0,not_found,no_efts_hits,,,,,0.0,,
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,0,not_found,no_efts_hits,,,,,0.0,,
1815436,,Advanced Health Intelligence Ltd,2021-11-19,2022-11-19,0,not_found,no_efts_hits,,,,,0.0,,
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,0,not_found,no_efts_hits,,,,,0.0,,
