cik,ticker,legal_name,continuation_group,continuation_status,cluster,pc1,pc2,predicted_probability
1868941,FLNC,"Fluence Energy, Inc.",continued,continued_same_matrix,1,1.785174100099674,-3.3605908812580387,0.9309901457668462
1865408,,Exscientia plc,not_continued,no_post_vacatur_relevant_filing,0,-3.475059278000679,-0.7685901553343965,0.02992710150018525
1689731,,"Southern States Bancshares, Inc.",continued,continued_other_narrative,2,2.7462441505703916,2.0217513399528535,0.1658192897077256
1875444,ARHS,"Arhaus, Inc.",continued,continued_other_narrative,1,1.8292969550398581,-3.849908106674699,0.8966001107051167
1590418,FCUV,FOCUS UNIVERSAL INC.,continued,continued_same_matrix,1,2.118497870104658,-0.7106768849501648,0.9217482829282826
1649739,BAFN,BayFirst Financial Corp.,continued,continued_other_narrative,2,2.0644617006483674,1.7686715896755056,0.9012888792998821
1657853,HTZ,"HERTZ GLOBAL HOLDINGS, INC",not_continued,not_continued_in_reviewed_filings,1,1.700430489834304,-4.620406268602738,0.6869923576316971
1789940,FWRG,"First Watch Restaurant Group, Inc.",continued,continued_other_narrative,1,1.9232986120407054,-4.503802870147212,0.7989979862687714
1544522,FRSH,Freshworks Inc.,continued,continued_other_narrative,1,1.991868550725624,-4.889904975972233,0.7509767287796527
1861795,DH,Definitive Healthcare Corp.,continued,continued_other_narrative,1,2.4561714837616417,-3.3384340607192704,0.9381450117438879
1865494,IOBTQ,"IO Biotech, Inc.",continued,continued_other_narrative,1,1.0246092073738278,1.385629889407423,0.9954743071604737
1625278,NRDS,"NERDWALLET, INC.",continued,continued_same_matrix,1,2.1928806281243443,-0.17967836244933377,0.7892623876762852
1689375,TRDA,"Entrada Therapeutics, Inc.",not_continued,not_continued_in_reviewed_filings,1,2.775635355498915,1.0837458085406715,0.9127235986945998
1868726,OLPX,"OLAPLEX HOLDINGS, INC.",continued,continued_same_matrix,1,1.9512397796271959,-2.458811633609492,0.8531759924293133
1782170,RELY,"Remitly Global, Inc.",not_continued,not_continued_in_reviewed_filings,1,1.823632279681923,-4.482040906472042,0.6522654244319307
1598981,SKYX,SKYX Platforms Corp.,continued,continued_other_narrative,1,1.6202397068427856,-0.5628111958180875,0.9780032062592335
1607939,UDMY,"Udemy, Inc.",continued,continued_other_narrative,1,1.7733234170212615,-3.518606118756403,0.8075756990356631
