log_employee_count,employee_missing,initial_publication_lag_days,days_before_due,is_egc,is_smaller_reporting,is_large_accelerated,is_accelerated_any,current_ticker_available,is_actual_us_state_hq,issuer_type_domestic,issuer_type_foreign_private_issuer,market_tier_clean_Capital Market,market_tier_clean_Global Market,market_tier_clean_Global Select,market_tier_clean_Unknown market tier,filer_category_simplified_accelerated,"filer_category_simplified_accelerated, egc","filer_category_simplified_accelerated, smaller reporting","filer_category_simplified_accelerated, smaller reporting, egc",filer_category_simplified_large accelerated,"filer_category_simplified_not stated, egc",company_sector_Communications / media,company_sector_Consumer / retail,company_sector_Energy / industrials,company_sector_Finance / real estate,company_sector_Life sciences / medical,company_sector_Manufacturing / industrials,company_sector_Other / mixed,company_sector_Services,company_sector_Technology,company_sector_Transportation / utilities,sic_division_Agriculture,sic_division_Construction,sic_division_Finance/real estate,sic_division_Manufacturing,sic_division_Mining,sic_division_Retail,sic_division_Services,sic_division_Transport/utilities,sic_division_Wholesale,industry_theme_Finance / real estate,industry_theme_Life sciences / medical,industry_theme_Other industries,industry_theme_Retail / consumer,industry_theme_Technology,hq_group_Asia-Pacific / Israel,hq_group_China / Hong Kong,hq_group_Europe,hq_group_Other non-US,hq_group_US,geo_scope_Actual US state HQ,geo_scope_Non-US / non-state HQ,initial_form_type_10-K,initial_form_type_20-F,initial_form_type_DEF 14A,initial_form_type_PRE 14A,listing_year_2021,listing_year_2022,listing_year_2023
7.421177528595393,0,92,273,0,0,0,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5.655991810819852,0,173,192,1,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4.736198448394496,1,230,135,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7.937731775260109,0,151,214,0,0,0,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4.736198448394496,1,217,148,0,1,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4.736198448394496,1,146,219,1,0,0,0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4.736198448394496,1,150,215,0,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4.736198448394496,1,192,173,0,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4.736198448394496,1,201,164,0,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6.532334292222349,0,209,156,0,1,0,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
