model,auc,accuracy_at_0_50,log_loss
base_rate,0.5,0.6779661016949152,0.6283930579952139
ridge_logistic_regression,0.6222222222222222,0.6892655367231638,0.8589979855915175
knn_k_3,0.610014619883041,0.672316384180791,1.8067225753272484
knn_k_5,0.6366959064327485,0.6666666666666666,1.0666518945554009
knn_k_7,0.6154239766081872,0.6101694915254238,0.8113951405764154
knn_k_11,0.6412280701754386,0.6666666666666666,0.6702371665410802
