field,value,n,continued_same_matrix,continued_same_matrix_share,continued_other_narrative,continued_other_narrative_share,not_continued_in_reviewed_filings,not_continued_in_reviewed_filings_share,no_post_vacatur_relevant_filing,no_post_vacatur_relevant_filing_share
issuer_type,domestic,124,21,0.1693548387096774,69,0.5564516129032258,19,0.1532258064516129,15,0.12096774193548387
issuer_type,foreign_private_issuer,53,21,0.39622641509433965,9,0.16981132075471697,22,0.41509433962264153,1,0.018867924528301886
