field,value,n,continued,not_continued,continued_share,continued_share_ci_low,continued_share_ci_high,ci_width,diff_vs_overall_pp,signal_confidence
company_sector,Energy / industrials,13,12,1,0.9230769230769231,0.6668546607175265,0.9862899336203037,0.3194352729027772,24.51108213820079,directional
company_sector,Consumer / retail,21,15,6,0.7142857142857143,0.500432261771624,0.8618632425437179,0.3614309807720939,3.6319612590799077,directional
company_sector,Technology,31,22,9,0.7096774193548387,0.5340734004245933,0.8390437928156713,0.30497039239107804,3.171131765992352,directional
company_sector,Life sciences / medical,58,40,18,0.6896551724137931,0.5619669315326005,0.7937806558519432,0.23181372431934277,1.1689070718877925,stronger descriptive signal
company_sector,Finance / real estate,18,12,6,0.6666666666666666,0.4374906934425036,0.8372144563633714,0.39972376292086786,-1.1299435028248594,directional
company_sector,Manufacturing / industrials,13,8,5,0.6153846153846154,0.35522480972268555,0.8229055341876319,0.46768072446494635,-6.2581486310299805,early signal
company_sector,Services,14,8,6,0.5714285714285714,0.3259026690286936,0.7861949006959948,0.46029223166730127,-10.653753026634384,early signal
company_sector,Other / mixed,5,2,3,0.4,0.1176182311592533,0.769280067791163,0.6516618366319097,-27.79661016949152,early signal
company_sector,Transportation / utilities,3,1,2,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.7308547295973515,-34.463276836158194,too small
company_sector,Communications / media,1,0,1,0.0,0.0,0.7934567085261071,0.7934567085261071,-67.79661016949152,too small
