target,label,model,feature,standardized_beta,odds_ratio_per_1sd,abs_beta
published_initial_clean,initial matrix released in required window,diversity_only,has_underrepresented_race_ethnicity,1.102984426970504,3.0131451301309107,1.102984426970504
published_initial_clean,initial matrix released in required window,diversity_only,nonbinary_share,0.8490176701010137,2.337349675347619,0.8490176701010137
published_initial_clean,initial matrix released in required window,diversity_only,has_any_undisclosed_signal,0.7381831413556793,2.0921309531585557,0.7381831413556793
published_initial_clean,initial matrix released in required window,diversity_only,underrepresented_race_ethnicity_share,-0.7353894221063227,0.4793187653027477,0.7353894221063227
published_initial_clean,initial matrix released in required window,diversity_only,disclosure_detail_score,0.6600800421741142,1.934947205584967,0.6600800421741142
published_initial_clean,initial matrix released in required window,diversity_only,female_share,-0.42378573380052653,0.6545641178502544,0.42378573380052653
published_initial_clean,initial matrix released in required window,diversity_only,has_any_measured_diversity_signal,0.372630334942863,1.4515476541953982,0.372630334942863
published_initial_clean,initial matrix released in required window,diversity_only,gender_undisclosed_share,0.34932557353750426,1.4181108145460608,0.34932557353750426
published_initial_clean,initial matrix released in required window,diversity_only,demographic_undisclosed_share,0.33022824081617513,1.3912856403979075,0.33022824081617513
published_initial_clean,initial matrix released in required window,diversity_only,has_lgbtq_director,0.26841055213039255,1.3078839843621863,0.26841055213039255
published_initial_clean,initial matrix released in required window,diversity_only,board_size,-0.181598468392521,0.8339361249107292,0.181598468392521
published_initial_clean,initial matrix released in required window,diversity_only,lgbtq_share,0.1686191872083912,1.1836692966769613,0.1686191872083912
published_initial_clean,initial matrix released in required window,diversity_only,has_female_director,-0.08509376360967316,0.9184261654116195,0.08509376360967316
published_initial_clean,initial matrix released in required window,diversity_only,has_nonbinary_director,0.07571757570847239,1.078657891943547,0.07571757570847239
published_initial_clean,initial matrix released in required window,diversity_plus_controls,has_underrepresented_race_ethnicity,1.4034505857369486,4.069216951506602,1.4034505857369486
published_initial_clean,initial matrix released in required window,diversity_plus_controls,initial_form_group=20-F,0.8459455703535325,2.3301801224297933,0.8459455703535325
published_initial_clean,initial matrix released in required window,diversity_plus_controls,underrepresented_race_ethnicity_share,-0.8278963597648656,0.4369675426465888,0.8278963597648656
published_initial_clean,initial matrix released in required window,diversity_plus_controls,disclosure_detail_score,0.7180847189225308,2.050502159326409,0.7180847189225308
published_initial_clean,initial matrix released in required window,diversity_plus_controls,country_group=China / Hong Kong,0.6299311962879653,1.8774813971308904,0.6299311962879653
published_initial_clean,initial matrix released in required window,diversity_plus_controls,female_share,-0.5831141854855346,0.5581574513722539,0.5831141854855346
published_initial_clean,initial matrix released in required window,diversity_plus_controls,due_year=2023,-0.5723051187873806,0.5642233367124936,0.5723051187873806
published_initial_clean,initial matrix released in required window,diversity_plus_controls,has_any_undisclosed_signal,0.5446676169880381,1.724035247103337,0.5446676169880381
published_initial_clean,initial matrix released in required window,diversity_plus_controls,sector=Energy / industrials,0.5017294299095735,1.6515750856033558,0.5017294299095735
published_initial_clean,initial matrix released in required window,diversity_plus_controls,lgbtq_share,0.40065030994076517,1.4927951615890005,0.40065030994076517
published_initial_clean,initial matrix released in required window,diversity_plus_controls,due_year=2022,0.40026398094164306,1.4922185629138955,0.40026398094164306
published_initial_clean,initial matrix released in required window,diversity_plus_controls,nonbinary_share,0.38320169478582256,1.4669738812143576,0.38320169478582256
published_initial_clean,initial matrix released in required window,diversity_plus_controls,demographic_undisclosed_share,0.36232301064895156,1.4366629244442255,0.36232301064895156
published_initial_clean,initial matrix released in required window,diversity_plus_controls,sector=Other / mixed,0.3621526285260596,1.4364181636173052,0.3621526285260596
published_initial_clean,initial matrix released in required window,diversity_plus_controls,sector=Manufacturing / industrials,0.3368481797795859,1.4005264193674019,0.3368481797795859
published_initial_clean,initial matrix released in required window,diversity_plus_controls,initial_form_group=other,-0.2871079227202778,0.750430735940257,0.2871079227202778
published_initial_clean,initial matrix released in required window,diversity_plus_controls,has_nonbinary_director,0.2743232732644599,1.3156400447523746,0.2743232732644599
published_initial_clean,initial matrix released in required window,diversity_plus_controls,has_any_measured_diversity_signal,0.2631044246161752,1.300962564375241,0.2631044246161752
published_initial_clean,initial matrix released in required window,diversity_plus_controls,sector=Consumer / retail,0.2346843684460813,1.2645095866132015,0.2346843684460813
published_initial_clean,initial matrix released in required window,diversity_plus_controls,initial_release_source_type=website_archive,0.22053582605461014,1.2467445898778982,0.22053582605461014
published_initial_clean,initial matrix released in required window,diversity_plus_controls,initial_form_group=unknown,0.22053582605461014,1.2467445898778982,0.22053582605461014
published_initial_clean,initial matrix released in required window,diversity_plus_controls,gender_undisclosed_share,0.18017854304994171,1.1974311370446213,0.18017854304994171
published_initial_clean,initial matrix released in required window,diversity_plus_controls,sector=Technology,0.17235622429155117,1.1881009882732145,0.17235622429155117
published_initial_clean,initial matrix released in required window,diversity_plus_controls,sector=Finance / real estate,-0.1577928226660842,0.8540266986158014,0.1577928226660842
published_initial_clean,initial matrix released in required window,diversity_plus_controls,country_group=Israel,0.14872838874675334,1.1603577801729754,0.14872838874675334
published_initial_clean,initial matrix released in required window,diversity_plus_controls,has_lgbtq_director,0.11590482674810713,1.1228889980500993,0.11590482674810713
published_initial_clean,initial matrix released in required window,diversity_plus_controls,initial_form_group=10-K,-0.0978302951807941,0.9068027794985741,0.0978302951807941
published_initial_clean,initial matrix released in required window,diversity_plus_controls,issuer_type=foreign_private_issuer,0.09645387390409395,1.1012587832039964,0.09645387390409395
published_initial_clean,initial matrix released in required window,diversity_plus_controls,sector=Services,0.07738503501043971,1.0804580104742125,0.07738503501043971
published_initial_clean,initial matrix released in required window,diversity_plus_controls,has_female_director,-0.05542928137806786,0.9460789267026971,0.05542928137806786
published_initial_clean,initial matrix released in required window,diversity_plus_controls,board_size,-0.05459631880636992,0.9468673033370439,0.05459631880636992
published_initial_clean,initial matrix released in required window,diversity_plus_controls,country_group=Europe,0.05150752102657392,1.0528571048286195,0.05150752102657392
continued_any,continued any post-vacatur disclosure,diversity_only,has_any_measured_diversity_signal,0.48573970759625223,1.625376867893247,0.48573970759625223
continued_any,continued any post-vacatur disclosure,diversity_only,has_female_director,-0.4585299481059344,0.6322123476786415,0.4585299481059344
continued_any,continued any post-vacatur disclosure,diversity_only,has_any_undisclosed_signal,-0.44906204915107545,0.6382264960528524,0.44906204915107545
continued_any,continued any post-vacatur disclosure,diversity_only,demographic_undisclosed_share,0.4399485495829357,1.5526273331324505,0.4399485495829357
continued_any,continued any post-vacatur disclosure,diversity_only,has_nonbinary_director,0.4350634733329353,1.5450611260182407,0.4350634733329353
continued_any,continued any post-vacatur disclosure,diversity_only,lgbtq_share,0.41327614442232846,1.5117624330627921,0.41327614442232846
continued_any,continued any post-vacatur disclosure,diversity_only,has_lgbtq_director,-0.24972797621188747,0.7790126642276518,0.24972797621188747
continued_any,continued any post-vacatur disclosure,diversity_only,disclosure_detail_score,0.2455010014498837,1.278261563705027,0.2455010014498837
continued_any,continued any post-vacatur disclosure,diversity_only,gender_undisclosed_share,0.19055768458577876,1.2099241655988124,0.19055768458577876
continued_any,continued any post-vacatur disclosure,diversity_only,underrepresented_race_ethnicity_share,0.11694324970281461,1.1240556373889632,0.11694324970281461
continued_any,continued any post-vacatur disclosure,diversity_only,female_share,-0.09310437866853206,0.9110983960953158,0.09310437866853206
continued_any,continued any post-vacatur disclosure,diversity_only,has_underrepresented_race_ethnicity,0.06325798751744552,1.0653016383074132,0.06325798751744552
continued_any,continued any post-vacatur disclosure,diversity_only,nonbinary_share,0.05970658395049059,1.0615250323645127,0.05970658395049059
continued_any,continued any post-vacatur disclosure,diversity_only,board_size,0.025343243037573782,1.0256671132069308,0.025343243037573782
continued_any,continued any post-vacatur disclosure,diversity_plus_controls,issuer_type=foreign_private_issuer,-0.7997026327384777,0.449462599709244,0.7997026327384777
